no,nama,harga,exp
156,Tiga Sapi Kaleng,17.000,8/26
157,Garam 250g,4.000,
158,Ajinomoto 100g,7.000,
159,Cuka,7.000,
160,Kapal Api 350g,37.000,10/26
161,Kapal Api 150g,27.000,12/26
162,Kapal Api 60g,12.000,11/26
163,Kapal Api 30g,8.000,9/26
164,Kopi Senang 50g,8.000,6/27
165,ABC Saus Tomat,11.000,10/26
166,ABC Kecap Manis,,3/27
167,Yamato Sarden 155g,11.000,12/28
168,Yamato Sarden 425g,24.000,11/28
169,Minyak Mubarok 250ml,8.000,11/27
170,Minyak Mubarok 400ml,12.000,10/27
171,Sari Wangi Kotak,8.000,10/27
172,Teh Bendera Kotak,8.000,12/27
173,Baterai ABC AA / Pack,13.000,
174,Baterai ABC Sedang / Pack,12.000,
175,Baterai ABC Besar,20.000,
176,Sandal Swallow,15.000,
177,Baygon Mat,5.000,
178,Lilin Pack,10.000,
179,Lilin Ecer,2.000,
180,Bayclin 100ml,6.000,7/28
181,Lux,6.000,
182,Lifebuoy Biru,6.000,
183,Lifebuoy Kuning,6.000,
184,Lifebuoy Merah,6.000,
185,Shinzui,7.000,
186,Pepsodent 25g,5.000,11/28
187,Pepsodent 75g,7.000,1/29
188,Pepsodent 120g,12.000,10/28
189,Pepsodent 190g,17.000,12/28
190,Sikat Gigi,5.000,
191,ABC Kecap Manis 600ml,35.000,7/27
192,ABC Special Grade Cocopandan,27.000,9/28
193,ABC Squash Delight Anggur,17.000,1/27
194,ABC Squash Delight Nanas,17.000,9/26
195,ABC Squash Delight Jeruk Florida,17.000,9/27
196,Jasjus Jeruk 1 Renteng,5.000,5/27
197,Jasjus Anggur 1 Renteng,5.000,2/27
198,Jasjus Mangga 1 Renteng,5.000,5/27
199,Lada Bubuk Sachet,2.000,
200,Masako Ayam Sachet,1.000,7/26
201,Masako Sapi Sachet,1.000,8/26
202,Teh Bendera Sachet,2.000,5/28
203,Energen,3.000,12/26
204,Kopi Jahe,"3000/1, 5000/2",7/27
205,Susu Jahe,"3000/1, 5000/2",9/27
206,White Coffee,2.000,7/27
207,Good Day Cappuccino Sachet,3.000,5/27
208,Pikopi,"2000/1, 3500/3",5/27
209,Fresco,2.000,11/26
210,ABC Moca,2.000,11/26
