No,nama,harga,exp
,Pendekar Biru,1000/2,
,Pepsodent 120g,12.000,10/28
,Pepsodent 190g,17.000,12/28
,Pepsodent 25g,5.000,11/28
,Pepsodent 75g,7.000,1/29
,Permen Hot Hot,1.000,12/26
,Pikopi,"2000/1, 3500/3",5/27
,Pocari Sweat Besar,12.000,10/26
,Pocari Sweat Kecil,a8.000,11/26
,Popmie Baso,7.000,9/26
,Popmie Kari Ayam,7.000,8/26
,Popmie Pedes Dower,8.000,9/26
,Popmie Soto Ayam,7.000,9/26
231,Pulpen,5.000,
,Regal 120g,15.000,4/27
,Regal 230g,27.000,8/27
,Relaxa,1000/3,
,Rinso Sachet,2.000,
,Roma Kelapa,12.000,11/26
,Roma Kelapa Cream Coklat,13.000,10/26
,Roma Sandwich Chocolate,10.000,12/26
,Roma Sandwich Peanut Butter,10.000,9/26
,Rosaria Peanut Crackers,10.000,5/27
,Roti 1000 an,1.000,
,Roti 2000 an,2.000,
,Roti Bulat,5.000,
,Roti Kotak Panjang,5.000,
,Sandal Swallow,15.000,
,Sari Gandum Sandwich Cokelat,11.000,12/26
,Sari Gandum Sandwich Peanut Butter,11.000,12/26
,Sari Kacang Hijau,8.000,10/26
,Sari Wangi Kotak,8.000,10/27
,SGM 0-6,20.000,10/27
,SGM 1+,20.000,3/27
,SGM 6-12,20.000,6/27
,shampo,1000,
,Shinzui,7.000,
,Siip Cocopan,1.000,9/26
,Siip Roasted Corn,1.000,10/26
,Sikat Gigi,5.000,
,Sosis So Nice,"2000/1, 5000/3",6/26
,Sprite Botol Kecil,5.000,9/26
,Sprite Kaleng,7.000,4/26
,Sun Beras Merah,12.000,10/27
,Sun Kacang Hijau,12.000,7/27
,Sun Pisang Susu,12.000,7/27
,Supermi Ayam Bawang,4.000,7/26
,Superstar,"2000/1, 5000/3",9/26
,Susu Jahe,"3000/1, 5000/2",9/27
,Tanggo,"2000/1, 5000/3",11/26
,Tanggo Vanilla Delight 15g,"2000/1, 5000/3",11/26
,Taro Net 62g,12.000,8/26
,Teh Bendera Kotak,8.000,12/27
,Teh Bendera Sachet,2.000,5/28
,Teh Kotak Apel,5.000,12/26
,Teh Kotak Blackcurrant,5.000,12/26
,Teh Kotak Melati,5.000,12/26
,Teh Pucuk,5.000,11/26
,Tiga Sapi Kaleng,17.000,8/26
,Time Break Nabati,4.000,10/26
,Tisu Kecil,2.000,
,Toko Rasa Manis Pedas,3.000,8/26
,Toko Rasa Rendang,3.000,8/26
,Twisko 70g,12.000,9/26
,Twisko Roasted Corn 9g,"3000/1, 5000/2",8/26
,Ultra Milk 125,5.000,10/26
,Ultra Milk 200,7.000,10/26
,Ultra Milk 250,8.000,10/26
,White Coffee,2.000,7/27
,Winston,"2000/1, 5000/4",
,Xtra Joss Ecer,"2000/1, 5000/3",7/27
,Xtra Joss Pack,16.000,7/27
,Yamato Sarden 155g,11.000,12/28
,Yamato Sarden 425g,24.000,11/28
,You C 1000,10.000,5/26
,Yupi,1000/3,9/27
